algorithm,size,random_time,partial_random1_time,partial_random2_time
insertion,10,0.00000075,0.00000100,0.00000050
insertion,30,0.00000165,0.00000105,0.00000130
insertion,50,0.00000140,0.00000050,0.00000115
insertion,100,0.00000680,0.00000115,0.00000420
insertion,500,0.00009885,0.00000855,0.00005225
insertion,1000,0.00030985,0.00002265,0.00016035
insertion,10000,0.02607045,0.00165270,0.01282990
insertion,100000,2.67055610,0.16602390,1.30848705
insertion,1000000,267.85176080,16.72882800,131.53064900
merge,10,0.00000095,0.00000060,0.00000070
merge,30,0.00000190,0.00000160,0.00000190
merge,50,0.00000390,0.00000295,0.00000315
merge,100,0.00000725,0.00000545,0.00000635
merge,500,0.00004080,0.00002940,0.00003615
merge,1000,0.00008410,0.00005845,0.00007080
merge,10000,0.00103160,0.00069455,0.00082880
merge,100000,0.01220060,0.00812765,0.00955915
merge,1000000,0.13641800,0.09043000,0.10348600
merge,10000000,1.56927100,1.02761500,1.20692300
quick,10,0.00000050,0.00000050,0.00000030
quick,30,0.00000100,0.00000095,0.00000100
quick,50,0.00000195,0.00000120,0.00000165
quick,100,0.00000345,0.00000260,0.00000320
quick,500,0.00002310,0.00001570,0.00002020
quick,1000,0.00005120,0.00003435,0.00004505
quick,10000,0.00068425,0.00042760,0.00057585
quick,100000,0.00833690,0.00513570,0.00702175
quick,1000000,0.10170800,0.05907400,0.08065700
quick,10000000,1.13447600,0.68083100,0.93708000
