algorithm,size,random_time,partial_random1_time,partial_random2_time
merge,10,0.00000095,0.00000060,0.00000070
merge,30,0.00000190,0.00000160,0.00000190
merge,50,0.00000390,0.00000295,0.00000315
merge,100,0.00000725,0.00000545,0.00000635
merge,500,0.00004080,0.00002940,0.00003615
merge,1000,0.00008410,0.00005845,0.00007080
merge,10000,0.00103160,0.00069455,0.00082880
merge,100000,0.01220060,0.00812765,0.00955915
merge,1000000,0.13641800,0.09043000,0.10348600
merge,10000000,1.56927100,1.02761500,1.20692300
merge2,10,0.00000030,0.00000115,0.00000040
merge2,30,0.00000085,0.00000035,0.00000055
merge2,50,0.00000170,0.00000080,0.00000125
merge2,100,0.00000330,0.00000145,0.00000275
merge2,500,0.00002145,0.00001020,0.00001690
merge2,1000,0.00004880,0.00002320,0.00003715
merge2,10000,0.00069750,0.00036440,0.00050960
merge2,100000,0.00862670,0.00467135,0.00615385
merge2,1000000,0.10478060,0.05743705,0.07488110
merge2,10000000,1.26737810,0.72274165,0.90870235
